station_id,timestamp,Value,Latitude,Longitude,EUI,LocalDateTime
Feldbergstrasse,2021-08-31 18:43:00+02:00,24.1,47.567005,7.594749,0004A30B00F156E2,31.08.2021 18:43
Feldbergstrasse,2021-08-31 19:09:00+02:00,24.1,47.567005,7.594749,0004A30B00F156E2,31.08.2021 19:09
Feldbergstrasse,2021-08-31 19:34:00+02:00,24.1,47.567005,7.594749,0004A30B00F156E2,31.08.2021 19:34
Feldbergstrasse,2021-08-31 19:59:00+02:00,24.1,47.567005,7.594749,0004A30B00F156E2,31.08.2021 19:59
Feldbergstrasse,2021-08-31 20:25:00+02:00,24.1,47.567005,7.594749,0004A30B00F156E2,31.08.2021 20:25
Feldbergstrasse,2021-08-31 20:50:00+02:00,24.1,47.567005,7.594749,0004A30B00F156E2,31.08.2021 20:50
Feldbergstrasse,2021-08-31 21:16:00+02:00,24.1,47.567005,7.594749,0004A30B00F156E2,31.08.2021 21:16
Feldbergstrasse,2021-08-31 21:41:00+02:00,24.1,47.567005,7.594749,0004A30B00F156E2,31.08.2021 21:41
Feldbergstrasse,2021-08-31 22:07:00+02:00,24.1,47.567005,7.594749,0004A30B00F156E2,31.08.2021 22:07
Feldbergstrasse,2021-08-31 22:32:00+02:00,24.1,47.567005,7.594749,0004A30B00F156E2,31.08.2021 22:32
Feldbergstrasse,2021-08-31 22:57:00+02:00,24.1,47.567005,7.594749,0004A30B00F156E2,31.08.2021 22:57
Feldbergstrasse,2021-08-31 23:23:00+02:00,24.1,47.567005,7.594749,0004A30B00F156E2,31.08.2021 23:23
Feldbergstrasse,2021-08-31 23:48:00+02:00,24.1,47.567005,7.594749,0004A30B00F156E2,31.08.2021 23:48
Feldbergstrasse,2021-09-01 00:14:00+02:00,24.1,47.567005,7.594749,0004A30B00F156E2,01.09.2021 00:14
Feldbergstrasse,2021-09-01 00:39:00+02:00,24.1,47.567005,7.594749,0004A30B00F156E2,01.09.2021 00:39
Feldbergstrasse,2021-09-01 01:05:00+02:00,24.1,47.567005,7.594749,0004A30B00F156E2,01.09.2021 01:05
Feldbergstrasse,2021-09-01 01:30:00+02:00,24.1,47.567005,7.594749,0004A30B00F156E2,01.09.2021 01:30
Feldbergstrasse,2021-09-01 01:56:00+02:00,24.1,47.567005,7.594749,0004A30B00F156E2,01.09.2021 01:56
Feldbergstrasse,2021-09-01 02:21:00+02:00,24.1,47.567005,7.594749,0004A30B00F156E2,01.09.2021 02:21
